2026-05-14 01:51:10,400 [INFO] Scrape started | date: 2026-05-13
2026-05-14 01:51:10,401 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2026-05-14 01:51:10,598 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,430 [INFO] Phone migrated to 4
2026-05-14 01:51:20,634 [INFO] Reconnecting to new data center 4
2026-05-14 01:51:20,948 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-14 01:51:20,948 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,949 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2026-05-14 01:51:22,994 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2026-05-14 01:55:39,094 [INFO] Telegram client connected
2026-05-14 01:55:39,095 [INFO] Starting scrape: CheMed123
2026-05-14 01:58:17,379 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:17,750 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:18,261 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:19,250 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:19,975 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:20,676 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:21,201 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:21,714 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:22,302 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:23,305 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:24,363 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:25,041 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:25,687 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:26,795 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:27,583 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:27,933 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:28,871 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:29,159 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
